Series,Model,AvgTime
058,RT,762.296788409554
058,RF,19025.626538985784
058,XGB,1679.5873585267175
058,Dual-Stage,1114.3515389459149
025,RT,951.7269594046714
025,RF,19690.581121951283
025,XGB,2716.044747998003
025,Dual-Stage,1525.4856240280787
087,RT,593.87335211781
087,RF,18147.022719892106
087,XGB,3836.624661001453
087,Dual-Stage,1818.8115746073852
177,RT,1008.0459083796267
177,RF,28801.869458012323
177,XGB,2829.4174580323047
177,Dual-Stage,2032.9665114387415
048,RT,1105.1232958008359
048,RF,43620.21193660632
048,XGB,3092.6546478632436
048,Dual-Stage,3130.382491113843
206,RT,777.9116238686476
206,RF,33119.35858257396
206,XGB,3086.995862379416
206,Dual-Stage,2347.9749541140604
018,RT,782.6202646434787
018,RF,21046.61035654038
018,XGB,2474.5709499084633
018,Dual-Stage,1863.5939387222545
163,RT,853.0187951124747
163,RF,18040.196213800573
163,XGB,2818.735572413454
163,Dual-Stage,1787.802082392576
003,RT,1014.2227101112659
003,RF,17433.146700355315
003,XGB,2538.0984299553297
003,Dual-Stage,3033.194381104284
106,RT,712.4942745200725
106,RF,17175.96936518552
106,XGB,2570.7787581576285
106,Dual-Stage,1042.7838380097453
051,RT,1196.1123732618662
051,RF,20483.580683080807
051,XGB,4612.028506977673
051,Dual-Stage,2538.026542277319
199,RT,948.7092666766831
199,RF,18240.110179734387
199,XGB,2960.5914376984224
199,Dual-Stage,1726.1785965636345
193,RT,1607.0417550022714
193,RF,19262.651483313053
193,XGB,3104.3492516839556
193,Dual-Stage,2023.3915857677555
191,RT,1009.4076544458928
191,RF,21012.561767566876
191,XGB,3154.1693364187936
191,Dual-Stage,2843.9165808602756
171,RT,798.2114322061377
171,RF,19675.25055446895
171,XGB,2552.8201476878444
171,Dual-Stage,1038.2184246046822
152,RT,747.8660353001344
152,RF,18893.046103266803
152,XGB,3263.4937809094813
152,Dual-Stage,2791.4211246829655
237,RT,822.701932008055
237,RF,17983.450369821123
237,XGB,2508.2698525410656
237,Dual-Stage,1132.0132776506691
001,RT,884.4605961191255
001,RF,18017.33194788716
001,XGB,2774.450700302865
001,Dual-Stage,2064.7658208046055
233,RT,615.3879035456853
233,RF,16224.085294114244
233,XGB,2733.1801952833985
233,Dual-Stage,982.9082706025522
020,RT,866.718144193369
020,RF,18759.078500028543
020,XGB,2699.5743784429087
020,Dual-Stage,1831.9093378358793
037,RT,792.5731917367395
037,RF,20476.706369838008
037,XGB,3350.850429221809
037,Dual-Stage,2161.476792795699
116,RT,1225.4766976543897
116,RF,22108.288680254744
116,XGB,3404.2317733015207
116,Dual-Stage,2165.4840738433863
040,RT,893.0532404755961
040,RF,20159.027667966977
040,XGB,3905.4376259537767
040,Dual-Stage,3087.088194640362
220,RT,899.5212661331785
220,RF,18289.333320414855
220,XGB,2476.6872997584983
220,Dual-Stage,1742.569720926904
092,RT,867.5049910972177
092,RF,17564.416598685733
092,XGB,2507.4981014632262
092,Dual-Stage,1006.0711627561548
172,RT,881.4615476881982
172,RF,22288.18149243542
172,XGB,3249.752085422693
172,Dual-Stage,2178.3698878008604
134,RT,429.3974657541608
134,RF,30689.592534194893
134,XGB,3489.5906712510423
134,Dual-Stage,3050.108920009128
154,RT,600.6117094526232
154,RF,17194.73361777057
154,XGB,2642.610795510143
154,Dual-Stage,1082.8804512823056
119,RT,686.838155964349
119,RF,16650.287616991813
119,XGB,2647.05880505863
119,Dual-Stage,2141.2435033847314
017,RT,1325.18845087556
017,RF,18732.31660712398
017,XGB,3079.8250223215614
017,Dual-Stage,1860.5291830624537
