Series,Model,AvgTime
199,RT,888.332362337942
199,RF,18633.053698525047
199,XGB,2076.797788397569
199,Dual-Stage,1058.367514186319
229,RT,549.4360920348188
229,RF,17985.22614147205
229,XGB,2157.222917592231
229,Dual-Stage,1334.535960165045
246,RT,472.02350224406
246,RF,17601.69759842777
246,XGB,1894.285240498716
246,Dual-Stage,1105.1494498725724
035,RT,1529.1800727068635
035,RF,21848.810981815725
035,XGB,3158.279881819743
035,Dual-Stage,2256.9272612862087
014,RT,1245.9778050117914
014,RF,17576.305403912826
014,XGB,1646.877710298766
014,Dual-Stage,1003.23746517101
006,RT,964.1984593171464
006,RF,20426.67824998769
006,XGB,1980.2376453452418
006,Dual-Stage,1175.4910700668463
109,RT,1194.9707003140295
109,RF,30605.399954396886
109,XGB,3177.464185669433
109,Dual-Stage,3130.0267850167247
048,RT,1667.3767183073976
048,RF,20523.05884507417
048,XGB,3214.8578239383855
048,Dual-Stage,3485.638580327434
045,RT,1539.594964632175
045,RF,17821.378768497936
045,XGB,3303.130639869486
045,Dual-Stage,1472.1708081256163
132,RT,1590.8033191640534
132,RF,24644.17061702911
132,XGB,4252.570709226383
132,Dual-Stage,3270.3063740895595
145,RT,1459.24821916894
145,RF,22329.9045479449
145,XGB,3188.3357853893867
145,Dual-Stage,2285.6044977340453
165,RT,1989.3917100384692
165,RF,20743.126044613593
165,XGB,3080.046565067185
165,Dual-Stage,2646.9360446081037
200,RT,827.2092084805619
200,RF,18754.220163891878
200,XGB,2868.6783088067596
200,Dual-Stage,1158.1677993256094
122,RT,880.043328659485
122,RF,20803.870479100355
122,XGB,3459.200562668948
122,Dual-Stage,2471.0781504205825
093,RT,1276.0446156241774
093,RF,30779.328957653946
093,XGB,3026.3886384337065
093,Dual-Stage,2260.3594625489295
034,RT,1183.7432031498452
034,RF,33126.597578082336
034,XGB,3558.3102812495326
034,Dual-Stage,3238.921333301429
066,RT,1559.8571623103182
066,RF,23642.54680518771
066,XGB,3378.3176233833005
066,Dual-Stage,2645.294262492826
147,RT,1090.1691004586128
147,RF,20279.43305935285
147,XGB,3630.5726118691023
147,Dual-Stage,2467.024963468276
095,RT,2104.883040680952
095,RF,22817.09926163848
095,XGB,2966.5153314015183
095,Dual-Stage,2495.462357922467
189,RT,990.7513000108823
189,RF,18216.643125655384
189,XGB,3045.384899989864
189,Dual-Stage,2358.2961183881707
039,RT,1171.7018812749834
039,RF,23862.17673514917
039,XGB,2902.429502273871
039,Dual-Stage,2137.3585315490477
051,RT,931.365309862857
051,RF,26015.135119691044
051,XGB,3649.6371126880877
051,Dual-Stage,2479.6243027991864
235,RT,760.0414035347477
235,RF,22794.238817653353
235,XGB,2742.019189421194
235,Dual-Stage,1214.3015117747875
176,RT,827.5502608957258
176,RF,28754.919695628538
176,XGB,3594.585043530337
176,Dual-Stage,3541.904653861121
144,RT,1253.9712741844626
144,RF,20997.004263428742
144,XGB,3519.502973132707
144,Dual-Stage,2213.869590151595
080,RT,987.5590862761516
080,RF,19501.484399992758
080,XGB,4087.681321568967
080,Dual-Stage,2218.452639203415
218,RT,1826.0092709990595
218,RF,19104.184997296557
218,XGB,2856.6761625949634
218,Dual-Stage,2848.4738048601494
119,RT,873.0517821108344
119,RF,20923.851582569587
119,XGB,3737.475451842313
119,Dual-Stage,1637.8629864429683
239,RT,597.2768939685268
239,RF,16889.746915048003
239,XGB,2279.517693023934
239,Dual-Stage,1211.7806549319344
040,RT,1038.6001030372927
040,RF,18865.075786256504
040,XGB,4152.936770983165
040,Dual-Stage,2809.0621488598026
212,RT,953.7856539532012
212,RF,18399.24758271923
212,XGB,3091.770160286899
212,Dual-Stage,2327.2284834717548
013,RT,824.6952848587023
013,RF,26025.437649849493
013,XGB,3145.3546201850304
013,Dual-Stage,1247.500373896811
071,RT,1248.1885276282987
071,RF,22048.290487446284
071,XGB,3103.511422109682
071,Dual-Stage,2391.98556158362
101,RT,980.2663702489449
101,RF,20835.422916040243
101,XGB,2918.8479656537
101,Dual-Stage,2842.91813740942
177,RT,1572.899061064177
177,RF,26739.226862619795
177,XGB,4176.193664090032
177,Dual-Stage,2628.243870248721
187,RT,1132.5982470796089
187,RF,19681.785811748086
187,XGB,3343.799117643427
187,Dual-Stage,2319.882240455891
107,RT,1008.1481486358334
107,RF,30234.183337855717
107,XGB,3141.680851347309
107,Dual-Stage,2767.879394742012
207,RT,1560.158800013876
207,RF,28338.087938478715
207,XGB,3327.713515388422
207,Dual-Stage,2547.8240294038346
106,RT,746.8024304636772
106,RF,22389.403805328668
106,XGB,3364.5238730327983
106,Dual-Stage,1440.5069598072864
248,RT,1351.8857195144735
248,RF,29937.857500005808
248,XGB,5261.659804873267
248,Dual-Stage,4407.390451228267
099,RT,1446.7284375214717
099,RF,21980.955109391685
099,XGB,3221.5126249894865
099,Dual-Stage,3318.156354783153
113,RT,1374.507441868826
113,RF,23198.13000580388
113,XGB,3106.3671801988207
